Date;Time;Event;ProcName;SystemName
30.10.2018;14:25:00;;NOSTRO ACCOUNT:  AUTOMATIC RECONCILIATION;SCHEDULED TASK                                                                                                                                                                                                                                                 
30.10.2018;14:25:00;1;NOSTRO ACCOUNT:  AUTOMATIC RECONCILIATION;SCHEDULED TASK                                                                                                                                                                                                                                                 
30.10.2018;14:25:00;2;NOSTRO ACCOUNT:  AUTOMATIC RECONCILIATION;SCHEDULED TASK                                                                                                                                                                                                                                                 
30.10.2018;14:25:00;3;NOSTRO ACCOUNT:  AUTOMATIC RECONCILIATION;SCHEDULED TASK                                                                                                                                                                                                                                                 
30.10.2018;22:47:12;Starting Automatic Nostro Reconciliation for Account: 9000902011;NOSTRO ACCOUNT: 9000902011 AUTOMATIC RECONCILIATION;SCHEDULED TASK                                                                                                                                                                                                                                                 
30.10.2018;22:47:12;Delete all Postings from NOSTRO_ACC_RECON_NEW_EXTERNAL_BOOKINGS if reconciled in SWIFT ACC STATEMENTS or included in NOSTRO RECONCILIATIONS OPEN;NOSTRO ACCOUNT: 9000902011 AUTOMATIC RECONCILIATION;SCHEDULED TASK                                                                                                                                                                                                                                                 
30.10.2018;22:47:16;Check if new Bookings exist for Account: 9000902011;NOSTRO ACCOUNT: 9000902011 AUTOMATIC RECONCILIATION;SCHEDULED TASK                                                                                                                                                                                                                                                 
30.10.2018;22:47:50;2804 bookings fund for Account: 9000902011;NOSTRO ACCOUNT: 9000902011 AUTOMATIC RECONCILIATION;SCHEDULED TASK                                                                                                                                                                                                                                                 
30.10.2018;22:47:50;Check if Reconciliation allready exists on 29.10.2018 for Account: 9000902011;NOSTRO ACCOUNT: 9000902011 AUTOMATIC RECONCILIATION;SCHEDULED TASK                                                                                                                                                                                                                                                 
30.10.2018;22:47:52;Reconciliation not exist on 29.10.2018 for Account: 9000902011;NOSTRO ACCOUNT: 9000902011 AUTOMATIC RECONCILIATION;SCHEDULED TASK                                                                                                                                                                                                                                                 
30.10.2018;22:47:52;Block Users to enter the NOSTRO RECONCILIATIONS FORMS;NOSTRO ACCOUNT: 9000902011 AUTOMATIC RECONCILIATION;SCHEDULED TASK                                                                                                                                                                                                                                                 
30.10.2018;22:47:52;Drop Temporary Tables if Present;NOSTRO ACCOUNT: 9000902011 AUTOMATIC RECONCILIATION;SCHEDULED TASK                                                                                                                                                                                                                                                 
30.10.2018;22:47:52;Create Temporary Table:#Temp_NOSTRO_ACC_RECONCILIATIONS_Temp;NOSTRO ACCOUNT: 9000902011 AUTOMATIC RECONCILIATION;SCHEDULED TASK                                                                                                                                                                                                                                                 
30.10.2018;22:47:52;Create Temporary Table:#Temp_NOSTRO_ACC_RECONCILIATIONS_INTERNAL_Temp;NOSTRO ACCOUNT: 9000902011 AUTOMATIC RECONCILIATION;SCHEDULED TASK                                                                                                                                                                                                                                                 
30.10.2018;22:47:52;Create Temporary Table:#Temp_FALSE_RECONCILIATIONS_Temp;NOSTRO ACCOUNT: 9000902011 AUTOMATIC RECONCILIATION;SCHEDULED TASK                                                                                                                                                                                                                                                 
30.10.2018;22:47:52;Create Temporary Table:#Temp_SEPA_RECON_BULK_Temp;NOSTRO ACCOUNT: 9000902011 AUTOMATIC RECONCILIATION;SCHEDULED TASK                                                                                                                                                                                                                                                 
30.10.2018;22:47:52;Create Temporary Table:#Temp_SEPA_RECON_ITEMS_Temp;NOSTRO ACCOUNT: 9000902011 AUTOMATIC RECONCILIATION;SCHEDULED TASK                                                                                                                                                                                                                                                 
30.10.2018;22:47:52;Create Temporary Table:#Temp_SEPA_RECONS;NOSTRO ACCOUNT: 9000902011 AUTOMATIC RECONCILIATION;SCHEDULED TASK                                                                                                                                                                                                                                                 
30.10.2018;22:47:52;Delete Current Date from NOSTRO_ACCOUNT_RECONCILIATIONS for specific NOSTRO ACCOUNT;NOSTRO ACCOUNT: 9000902011 AUTOMATIC RECONCILIATION;SCHEDULED TASK                                                                                                                                                                                                                                                 
30.10.2018;22:48:01;Insert Last Open Items to Reconciliation History;NOSTRO ACCOUNT: 9000902011 AUTOMATIC RECONCILIATION;SCHEDULED TASK                                                                                                                                                                                                                                                 
