ID	ClientType	BusinessType	Contract Type	ProductType	ClientNr	ContractClear	Counterparty/Issuer	StartDate	Next Event	Final Matu	Type	CURRENCY	Principal Amount/Value Balance(EUR Equ)	InterestRate	DaysToEventDate	MonthsToEventDate	MonthsToStartDate	YearsToStartDate	DaysToMaturity	DaysToMaturityFromStartDate	MonthsToMaturityFromStartDate	YearsToMaturityFromStartDate	RESTLAUFZEIT	EVENT	ProlongationNr	InterestEventCalc	InterestType	TOTAL_INTEREST	Year1_Interest	Year2_Interest	Year3_Interest	Year4_Interest	Year5_Interest
1	BANK	PREFINANCINGS	CLDD	FTBRDD	67820077	6,7811E+14	CCB DALIAN BRANCH	2016-10-19 00:00:00.000	2017-01-13 00:00:00.000	2017-01-13 00:00:00.000	Assets	USD	-308162,76	1,47761	13	1	0	0	13	86	3	1	1	LIVE DATA	0	3M USD LIBOR	V	164,43	164,43	0	0	0	0
2	NONE BANK	SYNDICATED LOANS	CLDD	SYFTDD	67803435	6,7811E+14	EVO AG	2013-12-20 00:00:00.000	2018-12-20 00:00:00.000	2018-12-20 00:00:00.000	Assets	EUR	-12000000	1,93	719	0	0	0	719	1826	60	5	24	LIVE DATA	0	5Y EUR	F	1174726,67	234816,67	227740	0	0	0
3	BANK	BANK NOSTRO ACCOUNTS	NOSTRO	NULL	67820083	1040200836	1040200836(CCB NEW YORK BRANCH)	2010-02-03 00:00:00.000	NULL	NULL	Assets	USD	-71736626,44	0	0	0	0	0	0	4349	0	0	0	LIVE DATA	0	NULL	V	0	0	0	0	0	0
4	BANK	BANK NOSTRO ACCOUNTS	NOSTRO	NULL	67820125	1040201256	1040201256(CITIBANK NA NEW YORK)	2000-03-15 00:00:00.000	NULL	NULL	Assets	USD	-1237802,82	0	0	0	0	0	0	7961	0	0	0	LIVE DATA	0	NULL	V	0	0	0	0	0	0
5	BANK	PREFINANCINGS	CLDD	EALLC	67820063	6,7811E+14	CCB SHENZHEN	2016-11-14 00:00:00.000	2017-01-13 00:00:00.000	2017-01-13 00:00:00.000	Assets	USD	-110841,32	1,29194	13	1	0	0	13	60	2	1	1	LIVE DATA	0	1M USD LIBOR	V	51,71	51,71	0	0	0	0
6	BANK	BANKS TIME DEPOSITS - OVER 1 MONTH UNTIL 3 MONTHS	MMDP	MMRFSF	67820058	6,7825E+14	CCB HEBEI BRANCH	2016-10-24 00:00:00.000	2017-01-12 00:00:00.000	2017-01-12 00:00:00.000	Liabilities	CNY	6961506,96	3	12	0	0	0	12	80	3	1	1	LIVE DATA	0	3M CNY	F	-46410,05	-6961,51	0	0	0	0
7	BANK	BANKS TIME DEPOSITS - OVER 1 MONTH UNTIL 3 MONTHS	MMDP	MMRFSF	67820058	6,7825E+14	CCB HEBEI BRANCH	2016-10-24 00:00:00.000	2017-01-12 00:00:00.000	2017-01-12 00:00:00.000	Liabilities	CNY	641550,64	2,96	12	0	0	0	12	80	3	1	1	LIVE DATA	0	3M CNY	F	-4219,98	-633	0	0	0	0
8	BANK	BANKS TIME DEPOSITS - OVER 3 MONTHS UNTIL 1 YEAR	MMDP	MMRFSF	67820060	6,7825E+14	CCB HUNAN BRANCH HUX	2016-09-29 00:00:00.000	2017-01-12 00:00:00.000	2017-01-12 00:00:00.000	Liabilities	CNY	13650013,65	2,9	12	0	0	0	12	105	4	1	1	LIVE DATA	0	3M CNY	F	-115456,37	-13195,01	0	0	0	0
9	BANK	BANKS TIME DEPOSITS - OVER 1 MONTH UNTIL 3 MONTHS	MMDP	MMRFSF	67821005	6,7825E+14	CCB FUJIAN BRANCH FJX	2016-10-21 00:00:00.000	2017-01-12 00:00:00.000	2017-01-12 00:00:00.000	Liabilities	CNY	382200,38	2,954	12	0	0	0	12	83	3	1	1	LIVE DATA	0	3M CNY	F	-2603,02	-376,34	0	0	0	0
10	BANK	BANKS TIME DEPOSITS - OVER 1 MONTH UNTIL 3 MONTHS	MMDP	MMRFSF	67820058	6,7825E+14	CCB HEBEI BRANCH	2016-10-24 00:00:00.000	2017-01-13 00:00:00.000	2017-01-13 00:00:00.000	Liabilities	CNY	3139503,14	3	13	0	0	0	13	81	3	1	1	LIVE DATA	0	3M CNY	F	-21191,65	-3401,13	0	0	0	0
