ID;Rate_Type;Maturity;Maturity1;Maturity2;Maturity3;EUR;USD;CNY
27;FW_3M;f3,6;f;3;6;-0,200160128102445;1,66587695453755;3,26332233987152
28;FW_3M;f6,9;f;6;9;-0,0200260338440117;1,88744846768989;3,34513970877603
29;FW_3M;f9,12;f;9;12;0,100135182496341;2,25430096895387;3,35642501707492
30;FW_3M;f12,15;f;12;15;0,190209230153204;2,22200373611257;3,4349298500242
31;FW_3M;f15,18;f;15;18;0,0100062539086565;1,83818137374718;3,42487108766036
32;FW_3M;f18,21;f;18;21;-0,040024014408635;1,84923840576188;3,38628364881579
33;FW_3M;f21,24;f;21;24;0,0400280196137359;4,72776593683397;3,3201282776834
34;FW_3M;f24,27;f;24;27;0,150090054032415;2,81501340482571;3,64826941066418
35;FW_3M;f27,30;f;27;30;0,0900202545572881;2,94746850487284;3,52259559675545
36;FW_3M;f30,33;f;30;33;0,11000000000001;3,07692307692315;3,54697909487713
37;FW_3M;f33,36;f;33;36;0,129964259828519;3,31569334519743;3,46115311048356
38;FW_3M;f36,39;f;36;39;0,279832100739608;2,85183464932652;3,70236590211306
39;FW_3M;f39,42;f;39;42;0,459402776390672;3,03456545299419;3,6147273296649
40;FW_3M;f42,45;f;42;45;0,219462317322527;2,82863419992676;3,63555752604743
41;FW_3M;f45,48;f;45;48;0,398803589232344;2,71787296898074;3,51493848857656
42;FW_3M;f48,51;f;48;51;0,607569721115553;3,04261466233298;3,66724738675952
43;FW_3M;f51,54;f;51;54;0,487307625369837;2,93004188974262;3,68572106773701
44;FW_3M;f54,57;f;54;57;0,715172585050894;2,96210638676389;3,70338693123502
45;FW_3M;f57,60;f;57;60;0,575083040007929;3,52310103529723;3,38128429482421
46;FW_6M;f3,9;f;3;9;-0,11008807045636;1,7805930322452;3,31787636075083
47;FW_6M;f6,12;f;6;12;0,040052067687979;2,07619331445881;3,36481700118068
48;FW_6M;f9,15;f;9;15;0,145196014619753;2,24441368400239;3,41008878915017
49;FW_6M;f12,18;f;12;18;0,100110121133223;2,03519811228001;3,44460570875662
50;FW_6M;f15,21;f;15;21;-0,0150093808630514;1,8479589342459;3,42007434944236
51;FW_6M;f18,24;f;18;24;0;3,29943062922768;3,36725958337296
52;FW_6M;f21,27;f;21;27;0,0950665465826006;3,78802557643865;3,49933974721752
53;FW_6M;f24,30;f;24;30;0,120072043225949;2,89161240903866;3,60149672591206
