ID;GL_ITEM;GL_ITEM_NAME;BalanceInSQL;BalanceInPL;Difference;BalanceDate
1;10;Cash box;-1937,06;-1937,06;0;2013-10-22 00:00:00.000
2;2500;Intangible assets;-147671,13;-147671,13;0;2013-10-22 00:00:00.000
3;2600;Fixed assets;-140471,63;-140471,63;0;2013-10-22 00:00:00.000
4;2850;Accrued income;-142768,78;-142768,78;0;2013-10-22 00:00:00.000
5;4110;Other liabilities;1288536,67;1288536,67;0;2013-10-22 00:00:00.000
6;4200;Deferred income;0;0;0;2013-10-22 00:00:00.000
7;4300;Provisions - taxes;515762;515762;0;2013-10-22 00:00:00.000
8;4350;Provisions - other;718987,38;718987,38;0;2013-10-22 00:00:00.000
9;5010;Interest payable banks;-11974806,22;-11974805,86;-0,36;2013-10-22 00:00:00.000
10;5100;Interest payable non-banks;-192161,38;-192161,38;0;2013-10-22 00:00:00.000
11;5500;Commission payable;-553110,35;-553110,35;0;2013-10-22 00:00:00.000
12;6000;Wages and salaries;-2417442,03;-2417442,03;0;2013-10-22 00:00:00.000
13;6100;Social contributions;-253808,44;-253808,44;0;2013-10-22 00:00:00.000
14;6150;Other personnel expenses;-62743,68;-62743,68;0;2013-10-22 00:00:00.000
15;6400;Depreciation of intangible and tangible assets;-79480,71;-79480,71;0;2013-10-22 00:00:00.000
16;6500;Room  maintenance costs and rental fees;-490383,29;-490383,29;0;2013-10-22 00:00:00.000
17;6600;Office operating costs;-241166,53;-241166,53;0;2013-10-22 00:00:00.000
18;6700;Administrative expenses;-518309,2;-518309,2;0;2013-10-22 00:00:00.000
19;6870;Security expenses;0;0;0;2013-10-22 00:00:00.000
20;6900;Taxes on income and profit;-2022902,29;-2022902,29;0;2013-10-22 00:00:00.000
21;6950;Other taxes;-29958,46;-29958,46;0;2013-10-22 00:00:00.000
22;7010;Interest income banks;2059444,47;2059444,48;-0,01;2013-10-22 00:00:00.000
23;7100;Interest income non-banks;17259293,28;17259293,28;0;2013-10-22 00:00:00.000
24;7210;Interest income floating rate securities;40700,06;40700,06;0;2013-10-22 00:00:00.000
25;7300;Interest-related income;124900,23;124900,23;0;2013-10-22 00:00:00.000
26;7500;Commission income documentary business;399508,06;399508,06;0;2013-10-22 00:00:00.000
27;7600;Commission income payments;1773095,52;1773022,65;72,87;2013-10-22 00:00:00.000
28;7630;Commission income commerce;-1903986,13;-1903986,13;0;2013-10-22 00:00:00.000
29;7650;Other commission incomes;12028,28;12028,28;0;2013-10-22 00:00:00.000
30;7700;Other operating income;25395,92;25395,92;0;2013-10-22 00:00:00.000
31;7850;Foreign exchange income;2529951,17;2529951,17;0;2013-10-22 00:00:00.000
32;7870;Securities income;20390;20390;0;2013-10-22 00:00:00.000
33;5010;Interest payable banks;-12033942,08;-12033941,72;-0,36;2013-10-23 00:00:00.000
34;5100;Interest payable non-banks;-192312,11;-192312,11;0;2013-10-23 00:00:00.000
35;5500;Commission payable;-553109,24;-553109,24;0;2013-10-23 00:00:00.000
36;6000;Wages and salaries;-2417442,03;-2417442,03;0;2013-10-23 00:00:00.000
37;6100;Social contributions;-253808,44;-253808,44;0;2013-10-23 00:00:00.000
38;6150;Other personnel expenses;-62743,68;-62743,68;0;2013-10-23 00:00:00.000
39;6400;Depreciation of intangible and tangible assets;-79480,71;-79480,71;0;2013-10-23 00:00:00.000
40;6500;Room  maintenance costs and rental fees;-490598,46;-490598,46;0;2013-10-23 00:00:00.000
41;6600;Office operating costs;-241166,1;-241166,1;0;2013-10-23 00:00:00.000
42;6700;Administrative expenses;-518309,2;-518309,2;0;2013-10-23 00:00:00.000
43;6870;Security expenses;0;0;0;2013-10-23 00:00:00.000
44;6900;Taxes on income and profit;-2022902,29;-2022902,29;0;2013-10-23 00:00:00.000
45;6950;Other taxes;-30002,53;-30002,53;0;2013-10-23 00:00:00.000
46;7010;Interest income banks;2075671,86;2075671,87;-0,01;2013-10-23 00:00:00.000
47;7100;Interest income non-banks;17337037,46;17337037,46;0;2013-10-23 00:00:00.000
48;7210;Interest income floating rate securities;40826,24;40826,24;0;2013-10-23 00:00:00.000
49;7300;Interest-related income;124900,23;124900,23;0;2013-10-23 00:00:00.000
50;5010;Interest payable banks;-11615316,21;-11615315,85;-0,36;2013-10-16 00:00:00.000
51;5100;Interest payable non-banks;-191325,52;-191325,52;0;2013-10-16 00:00:00.000
52;5500;Commission payable;-553098,42;-553098,42;0;2013-10-16 00:00:00.000
53;6000;Wages and salaries;-2417442,03;-2417442,03;0;2013-10-16 00:00:00.000
54;6100;Social contributions;-253808,44;-253808,44;0;2013-10-16 00:00:00.000
55;6150;Other personnel expenses;-60164,13;-60164,13;0;2013-10-16 00:00:00.000
56;6400;Depreciation of intangible and tangible assets;-79480,71;-79480,71;0;2013-10-16 00:00:00.000
57;6500;Room  maintenance costs and rental fees;-482774,37;-482774,37;0;2013-10-16 00:00:00.000
58;6600;Office operating costs;-232479,94;-232479,94;0;2013-10-16 00:00:00.000
59;6700;Administrative expenses;-516448,4;-516448,4;0;2013-10-16 00:00:00.000
60;6870;Security expenses;0;0;0;2013-10-16 00:00:00.000
61;6900;Taxes on income and profit;-2022902,29;-2022902,29;0;2013-10-16 00:00:00.000
62;6950;Other taxes;-26889,91;-26889,91;0;2013-10-16 00:00:00.000
63;7010;Interest income banks;1968351,39;1968351,4;-0,01;2013-10-16 00:00:00.000
64;7100;Interest income non-banks;16785705,16;16785705,16;0;2013-10-16 00:00:00.000
65;7210;Interest income floating rate securities;39943,06;39943,06;0;2013-10-16 00:00:00.000
66;7300;Interest-related income;106900,23;106900,23;0;2013-10-16 00:00:00.000
67;7500;Commission income documentary business;386526,33;386648,05;-121,72;2013-10-16 00:00:00.000
68;7600;Commission income payments;1741199,97;1741140,95;59,02;2013-10-16 00:00:00.000
