ID;MeetingDate;TaskID;Priority;TaskTopic;TaskDescription;Participants;FollowUp;ResponsibleDepartment;ResponsibleStaffMember;Beginning;ExpectedTermination;Status;StatusText;CurrentUser
46;2012-10-18 00:00:00.000;1;C;"Reporting Z 14/Z 15
Interest Income - Interest Expense
AWV";"Since January 2012 reports have not been issued and sent to Deutsche Bundesbank. Reason: EDP conversion from Multibank to OCBS on 18.11.2011. Meanwhile IT Department has managed to create the necessary reports starting from January 2012. In close coordination with Deutsche Bundesbank (see e-mail from Mr. Nöske dd. 14.06.2012 to Mr. Olberding) we shall forward the 2012 reports to Deutsche Bundesbank and inform our internal auditor (W+ST) accordingly.
";NULL;"+++ Update from Nieli on 21.11.2012 08:26:30 +++ 
Mr. Papas implemented missing Z14/Z15 datas from January until July 2012 in reporting tool. 

Accounting Department is in charge to forward the Z14/Z15 datas to Bundesbank. Mr. Olberding from Bundesbank has to be informed. 

+++ Update from Nieli on 21.11.2012 15:22:03 +++ 
Mr. Nöske prepared Z14/Z15 reporting forms which have been checked by Mrs. Qiuan and Mr. Nieli.

Mr. Olberding has been informed bout the sucessfull completion of the Z14/Z15 reporting by Mr. Nieli 
Z14/Z15 reporting forms were sent to the Deutsche Bundebank Service Center Mainz.

";"Accounting
Risk Management";Nöske - Nieli;2012-11-13 00:00:00.000;2012-11-02 00:00:00.000;CLOSED;TASK CLOSED from Sternheimer on 23.01.2014 09:38:55;NULL
47;2012-11-16 00:00:00.000;2;B;"Reporting Tool
In and Outoing Payments
Z 4 AWV ";NULL;NULL;"+++ Update from Nieli on 10.04.2013 16:23:18 +++ 
IT Dep. implemented AWV reporting tool ";IT;Yu;2012-11-13 00:00:00.000;2012-12-31 00:00:00.000;CLOSED;TASK CLOSED from Nieli on 10.04.2013 16:24:21;NULL
48;2012-11-16 00:00:00.000;3;B;Reporting 24 c KWG;NULL;NULL;"+++ Update from Nieli on 10.04.2013 16:23:49 +++ 
";"IT
Risk Management";"Yu
Nieli";2012-11-13 00:00:00.000;2013-01-31 00:00:00.000;CLOSED;TASK CLOSED from Nieli on 10.04.2013 16:24:12;NULL
49;2012-11-16 00:00:00.000;4;C;"Reporting ZVDL 
Incomplete date files 
Payment/ML";"ML/Prevention of criminal offences office  is responsible to supervise/check and settle incomplete client´s payment data. Each quarter this duty is carried out by Mrs. Römer in close cooperation with our Operations Department (Payments). The check carried out is documented in writing. ";NULL;"+++ Update from Nieli on 21.01.2013 11:14:08 +++ 
Procedure has been implemented and shall be executed quarterly.I4";Money Laundering;Römer;2012-11-13 00:00:00.000;2013-01-31 00:00:00.000;CLOSED;TASK CLOSED from Nieli on 21.01.2013 11:14:11;NULL
50;2012-11-16 00:00:00.000;5;B;"Reporting
Jährliche Zahlungsverkehrsstatistik";"Actual the yearly statistic about clearing and payments related to interest income from other countries is done manually by Mr. Yu. This is due to the fact that our GMPS system is not providing an interface to our BAIS reporting tool because our internal payment system GMPS does not contain a reporting function. 
Our Guangzhou Developement Center is responsible for the GMPS programming. We have to apply for a reporting function accordingly. Parallel the program parameters according to the local reporting demands have to be defined and communicated. Accounting/IT and Risk Management Department are in charge to execute this work until  mid of December 2012. In a second step Guangzhou Development Center needs to program the necessary statistic until March 2013.  



";NULL;"+++ Update from Nieli on 10.04.2013 16:22:25 +++ 
IT Department implemented a semi-automatic reporting tool (please see user guide ""Annual payment statistic"")";"IT
Accounting";"Yu
Nöske
";2012-11-13 00:00:00.000;2013-03-31 00:00:00.000;CLOSED;TASK CLOSED from Nieli on 10.04.2013 16:22:27;NULL
51;2012-11-16 00:00:00.000;6;B;"Reporting  
Limit Management/daily duties
";"Mr. Jin Wang, new colleague in Risk Department has to be trained by Mrs. Ran Zhi in our MTS system. This training enables him to supervise the country and counterparty limits. ";NULL;"+++ Update from Nieli on 14.12.2012 15:15:47 +++ 
Training took place. Mr. Nieli and Mr. Wang are capable to set new counterparties to our system. 
CCB Singapore data correctly inputted. 
KONDOR application sent to CCB London.";Risk Management;Nieli;2012-11-13 00:00:00.000;2012-12-14 00:00:00.000;CLOSED;TASK CLOSED from Nieli on 14.12.2012 15:15:50;NULL
52;2012-11-16 00:00:00.000;7;B;"Proper Time Recording
";"Proper use of the time recording. All participants of the MCM had been requested to properly use the time recording machine and to ensure that also their subordinates fulfilling the working guideline of the bank. Starting from today it is the sole responsibility of the Supervisors to control their employees.

In detail the responsibilities are as follows:

Mr. Li controls
Mr. Zheng controls:
- Mr. Dupré
- Mr. Xiaodong Wang

Mr. Sternheimer controls:
Mr. Nöske controls:
- Mrs. Qian
- Mr. Guo

Mr. Sternheimer controls:
Mr. Yu controls:
- Mr. Papas
- Mrs. Zhang Li
- Miss Lu
- Mrs. Shang
- Mrs. Fasanella
- Mrs. Kraus

Mr. Sternheimer controls:
Mrs. Ping Li controls:
- Mrs. Claudia Römer
- Mrs. Zhijin Li

Mr. Sternheimer controls:
Mr. Nieli controls:
- Mr. Jin Wang

Mr. Xie controls:
Mr. Ott controls:
- Mrs. Baeseler
- Mr. Schreiber
- Mr. Dong Fu
- Mr. Fantao Fu

Mr. Xie controls:
Mrs. Meijuan Liu


 ";NULL;NULL;Senior Management;Sternheimer;2012-11-13 00:00:00.000;2012-12-31 00:00:00.000;CLOSED;TASK CLOSED from Nieli on 27.12.2012 09:19:46;NULL
53;2012-11-13 00:00:00.000;8;I;Open IT issues (info provided by Mr. Yu);"1.  System Upgrade Online Banking to be executed on 17.11.2012
2.  OCBS (Saldenbestätigungen/Annuitätendarlen) to be executed on 17.11.2012
3.  ODAS (System Upgrade) to be executed on 17.11.2012
4.  SWIFT (System Upgrade) to be executed on 17.11.2012
5.  Delivery of Hardware from China (Value: TUSD 170) to be delivered within this and next week
6.  Reorganisation EDP Room to be done in this week
7.  BSM Update (Version 1.14) Accounting Department must compare the figures and report the result to EDP
8.  LCR/NSFR reporting is scheduled for the 1st of January 2013. 
      BSM is still waiting for the last valid legal version from the european commission. 
      Liquid Coverage Ratio defines how much liquid assets have to be held by financial institutions. 
      The necessity to held high liquid assets impacts negatively short term lendings.
9.   Net Stable Funding Ratio. This funding ratio seeks to calculate the proportion of long-term assets funded by long term deposits. 
10.OCBS Obligo Online Report ";NULL;"+++ Update from Nieli on 12.12.2012 14:05:17 +++ 
System upgrades with minor problems and differences executed.

LCR/NSFR not implemented due to lack of final EU regulations

+++ Update from Nieli on 21.01.2013 11:10:46 +++ 
New topic LCR/NSFR added.I8";"Accounting 
IT";"Peter Nöske
Maoyuan Yu";2012-11-16 00:00:00.000;2012-12-31 00:00:00.000;CLOSED;TASK CLOSED from Nieli on 21.01.2013 11:10:49;NULL
54;2012-11-19 00:00:00.000;1;I;Follow up MCM 13.11.2012;"IT - AWV Reporting
Mr. Papas has to import the datas to finalize AWV Z14/Z15 reportings this week

Risk Management
Mr. Wang and Mr. Nieli shall receive training from Mrs. Ran Zhi in the limit system manangement (MTS).

All Departments
Time recording, the control procedure is set.

IT (see meeting 13.11.2012)
to 1) Last weekend updates were executed. Occured problems solved. 
to 2) Balance confirmation results shall be received tomorrow. In the future confirmation balances can be generated daily.
to 3) Upgrade executed
to 4) Upgrade executed
to 5) Hardware delivered and stored
to 6) done 
to 7) done - Mr. Nöske executed reconcilation. 
to 8) LCR/NSFR 1st week of January 2013
to 9) Obligo OCBS Report is still in testing phase. 

Foreign Business
- no staff problems stated by Mr. Ott
- new expatriatas (Dong Fu and Fantao Fu) must get training and get familiar with our local processings - partially managed

Risk Department
- IT Report related to outsourced IT needs to be issued by CCB´s IT Auditors/or PWC China to fulfill Art. 25a German Banking Act. 
   DGM Mr. Xie responded that H.O. is working on it. They shall build special audit team to fulifill our requirements.

 

 ";NULL;NULL;"All Departments
";"Xie
Sternheimer
Gilhaus
Zheng
Nieli
Ping Li
Yu
Ott
Nöske";2012-11-19 00:00:00.000;2012-11-21 00:00:00.000;CLOSED;TASK CLOSED from Nieli on 21.11.2012 08:21:07;NULL
55;2012-12-05 00:00:00.000;1;B;"BISTA report 10/12 not correctly reported to Deutsche Bundesbank. 
Differences between trial balance and BISTA report occured.";"Order to Mr. Nöske to check and compare the former monthly BISTA report with the trial balance. ";NULL;"BISTA Reports (asset and liability positions) checked with trial balance by Mr. Nöske. No mistakes detected.
Defective reporting is due to a parameter change on the wrong advice of BSM (Mr. Erdelt).
Phone complaint to BSM Senior Management (Mr. Karner) by Mr. Sternheimer.  ";"Accounting
IT";"Nöske
Yu
Papas";2012-12-05 00:00:00.000;2012-12-07 00:00:00.000;CLOSED;TASK CLOSED from Nieli on 12.12.2012 14:23:04;NULL
