ID;LineNr;CCB_Category;Blank1;AccountingCode;Source_account;Eight_digit_Number;Account_name;Level_3_Account_Code_COA_natural_account_code;Level_3_Account_Name;Account_change_status;PBC_No;blank;Amount_In_Management_Statement
5707;01;现金及存放中央银行款项 Cash and deposit in Central Bank;NULL;NULL;11011;11011503;柜员现金 Cash of tellers;100101;柜员现金 Cash of tellers;NULL;NULL;NULL;0
5708;01;现金及存放中央银行款项 Cash and deposit in Central Bank;NULL;NULL;11014;11014556;自助设备现金 Cash in ATM;100111;自助设备现金 Cash in ATM;131030新增 Added;NULL;NULL;0
5709;01;现金及存放中央银行款项 Cash and deposit in Central Bank;NULL;NULL;11012;11012504;金库现金 Cash in coffer;100121;金库现金 Cash in coffer;NULL;NULL;NULL;0
5710;01;现金及存放中央银行款项 Cash and deposit in Central Bank;NULL;NULL;11010;11010502;经费现金 Petty cash;100201;经费现金 Petty cash;NULL;NULL;NULL;462,98
5711;01;现金及存放中央银行款项 Cash and deposit in Central Bank;NULL;NULL;11013;11013505;运送中现金 Cash in transit;100301;运送中现金 Cash in transit;NULL;NULL;NULL;0
5712;01;现金及存放中央银行款项 Cash and deposit in Central Bank;NULL;NULL;11310;11310700;存中央银行存款 Deposit in Central Bank;100601;存中央银行存款 Deposit in Central Bank;NULL;1,2;NULL;1832535059
5713;01;现金及存放中央银行款项 Cash and deposit in Central Bank;NULL;NULL;11310;11310701;存放央行定期存款 Time deposit in centralbank;100661;存放央行定期存款 Time deposit in Central Bank;1512新增 Added;1,2;NULL;0
5714;02;存放同业款项 Deposits with banks and non-bank financial institutions;NULL;NULL;12003;12003500;存出保证金 Margin deposit;101061;存出保证金 Margin deposit;NULL;4;NULL;0
5715;02;存放同业款项 Deposits with banks and non-bank financial institutions;NULL;NULL;12003;12003797;存出期货业务保证金 Margin Deposit - Futures Trading;101062;存出期货业务保证金 Margin deposit- Future business;1512新增 Added;4;NULL;0
5716;02;存放同业款项 Deposits with banks and non-bank financial institutions;NULL;NULL;15413;15413700;存放集团内清算款项 Nostro account- Inter group;101063;存放集团内清算款项 Nostro account- Inter group;1112新增 Added;4;NULL;2437,83
5717;02;存放同业款项 Deposits with banks and non-bank financial institutions;NULL;NULL;12005;12005700;存放境外同业清算款项 Nostro account- Overseas;101064;存放境外同业清算款项 Nostro account- Overseas;1111新增 Added;4;NULL;0
5718;02;存放同业款项 Deposits with banks and non-bank financial institutions;NULL;NULL;15500;15500249;子公司自身集团内定期存款 TIME DEPOSITS  WITH INTER SUBSIDARY;101065;存放子公司自身集团内定期款项 Fixed account - Inter subsidiary;1512新增 Added;4;NULL;0
5719;02;存放同业款项 Deposits with banks and non-bank financial institutions;NULL;NULL;15500;15500214;子公司自身集团内存放 Amount due from inter subsidiary;101066;存放子公司自身集团内款项 Nostro account- Inter subsidiary;131030新增 Added ;4;NULL;0
5720;02;存放同业款项 Deposits with banks and non-bank financial institutions;NULL;NULL;12001;12001700;存放同业清算款项 Nostro account;101067;存放同业清算款项 Nostro account;NULL;4;NULL;1146714,33
